Bill Of Materials (Listed per component)

Design C:\pcb_elegance\PcMotherBoard

April 18, 2012 19:32:11

+---+---------+-------------+-----------------+-------+
|pos|Reference|Value        |Geometry         |Part nr|
|354|R240     |10K          |K0603            |       |
|355|R400     |22R          |K0603            |       |
|356|R401     |22R          |K0603            |       |
|357|R402     |22R          |K0603            |       |
|358|R403     |22R          |K0603            |       |
|359|R404     |22R          |K0603            |       |
|360|R405     |22R          |K0603            |       |
|361|R406     |10R          |K0603            |       |
|362|R407     |10R          |K0603            |       |
|363|R408     |10R          |K0603            |       |
|364|R409     |10R          |K0603            |       |
|365|R410     |10R          |K0603            |       |
|366|R411     |10R          |K0603            |       |
|367|R412     |10R          |K0603            |       |
|368|R413     |10R          |K0603            |       |
|369|R414     |10R          |K0603            |       |
|370|R415     |10R          |K0603            |       |
|371|R416     |10R          |K0603            |       |
|372|R417     |10R          |K0603            |       |
|373|R418     |10R          |K0603            |       |
|374|R419     |10R          |K0603            |       |
|375|R420     |10R          |K0603            |       |
|376|R421     |10R          |K0603            |       |
|377|R422     |10R          |K0603            |       |
|378|R423     |10R          |K0603            |       |
|379|R424     |10R          |K0603            |       |
|380|R425     |10R          |K0603            |       |
|381|R426     |10R          |K0603            |       |
|382|R427     |10R          |K0603            |       |
|383|R428     |10R          |K0603            |       |
|384|R429     |10R          |K0603            |       |
|385|R430     |10R          |K0603            |       |
|386|R431     |10R          |K0603            |       |
|387|R432     |10R          |K0603            |       |
|388|R433     |10R          |K0603            |       |
|389|R434     |10k          |K0603            |       |
|390|R600     |33R          |K0603            |       |
|391|R601     |33R          |K0603            |       |
|392|R602     |33R          |K0603            |       |
|393|R603     |33R          |K0603            |       |
|394|R604     |33R          |K0603            |       |
|395|R605     |33R          |K0603            |       |
|396|R606     |33R          |K0603            |       |
|397|R607     |33R          |K0603            |       |
|398|R608     |33R          |K0603            |       |
|399|R609     |33R          |K0603            |       |
|400|R610     |33R          |K0603            |       |
|401|R611     |33R          |K0603            |       |
|402|R612     |4k7          |K0603            |       |
|403|R613     |10k          |K0603            |       |
|404|R614     |10k          |K0603            |       |
|405|R616     |15k          |K0603            |       |
|406|R617     |15k          |K0603            |       |
|407|R618     |33R          |K0603            |       |
|408|R619     |33R          |K0603            |       |
|409|R620     |15k          |K0603            |       |
|410|R621     |15k          |K0603            |       |
|411|R622     |33R          |K0603            |       |
|412|R623     |33R          |K0603            |       |
|413|R624     |1K0          |K0603            |       |
|414|R700     |10k          |K0603            |       |
|415|R701     |10k          |K0603            |       |
|416|R702     |10k          |K0603            |       |
|417|R703     |10k          |K0603            |       |
|418|R704     |10k          |K0603            |       |
|419|R705     |10k          |K0603            |       |
|420|R706     |10k          |K0603            |       |
|421|R707     |10k          |K0603            |       |
|422|R708     |1k0          |K0603            |       |
|423|R709     |1k0          |K0603            |       |
|424|R710     |330R         |K0603            |       |
|425|R711     |330R         |K0603            |       |
|426|R712     |330R         |K0603            |       |
|427|R713     |330R         |K0603            |       |
|428|R714     |4k7          |K0603            |       |
|429|R715     |10k          |K0603            |       |
|430|R716     |10k          |K0603            |       |
|431|R717     |10k          |K0603            |       |
|432|R718     |10k          |K0603            |       |
|433|R719     |10k          |K0603            |       |
|434|R720     |10k          |K0603            |       |
|435|R721     |10k          |K0603            |       |
|436|R722     |10k          |K0603            |       |
|437|R723     |10k          |K0603            |       |
|438|R724     |10k          |K0603            |       |
|439|R725     |10k          |K0603            |       |
|440|R726     |10k          |K0603            |       |
|441|R727     |10k          |K0603            |       |
|442|R728     |10k          |K0603            |       |
|443|R729     |10k          |K0603            |       |
|444|R730     |10k          |K0603            |       |
|445|R731     |10k          |K0603            |       |
|446|R732     |10k          |K0603            |       |
|447|R733     |10k          |K0603            |       |
|448|R734     |10k          |K0603            |       |
|449|R735     |10k          |K0603            |       |
|450|R736     |10k          |K0603            |       |
|451|R737     |10k          |K0603            |       |
|452|R738     |10k          |K0603            |       |
|453|R739     |10k          |K0603            |       |
|454|R740     |10k          |K0603            |       |
|455|R741     |10k          |K0603            |       |
|456|R742     |10k          |K0603            |       |
|457|R743     |10k          |K0603            |       |
|458|R744     |10k          |K0603            |       |
|459|R745     |10k          |K0603            |       |
|460|R746     |10k          |K0603            |       |
|461|R747     |10k          |K0603            |       |
|462|R748     |10k          |K0603            |       |
|463|R749     |10k          |K0603            |       |
|464|R750     |10k          |K0603            |       |
|465|R751     |10k          |K0603            |       |
|466|R752     |10k          |K0603            |       |
|467|R753     |10k          |K0603            |       |
|468|R754     |10k          |K0603            |       |
|469|R755     |10k          |K0603            |       |
|470|R756     |10k          |K0603            |       |
|471|R757     |10k          |K0603            |       |
|472|R758     |2k7          |K0603            |       |
|473|R759     |2k7          |K0603            |       |
|474|R760     |2k7          |K0603            |       |
|475|R761     |2k7          |K0603            |       |
|476|R762     |2k7          |K0603            |       |
|477|R763     |2k7          |K0603            |       |
|478|R764     |2k7          |K0603            |       |
|479|R765     |2k7          |K0603            |       |
|480|R766     |2k7          |K0603            |       |
|481|R767     |2k7          |K0603            |       |
|482|R768     |2k7          |K0603            |       |
|483|R769     |10k          |K0603            |       |
