;
;
;
;
;
;
;
;Symbolname     Code1  Code2 PartNr        Value             Geometry             Description
R                   1  120   ""            "8R2"             K0805                "RESISTOR 8.2 OHM"
R                   1  120   ""            "10R"             K0805                "RESISTOR 10 OHM"
R                   1  120   ""            "12R"             K0805                "RESISTOR 12 OHM"
R                   1  120   ""            "15R"             K0805                "RESISTOR 15 OHM"
R                   1  120   ""            "18R"             K0805                "RESISTOR 18 OHM"
R                   1  120   ""            "22R"             K0805                "RESISTOR 22 OHM"
R                   1  120   ""            "27R"             K0805                "RESISTOR 27 OHM"
R                   1  120   ""            "33R"             K0805                "RESISTOR 33 OHM"
R                   1  120   ""            "39R"             K0805                "RESISTOR 39 OHM"
R                   1  120   ""            "47R"             K0805                "RESISTOR 47 OHM"
R                   1  120   ""            "56R"             K0805                "RESISTOR 56 OHM"
R                   1  120   ""            "68R"             K0805                "RESISTOR 68 OHM"
R                   1  120   ""            "82R"             K0805                "RESISTOR 82 OHM"
R                   1  120   ""            "100R"            K0805                "RESISTOR 100 OHM"
R                   1  120   ""            "120R"            K0805                "RESISTOR 120 OHM"
R                   1  120   ""            "150R"            K0805                "RESISTOR 150 OHM"
R                   1  120   ""            "180R"            K0805                "RESISTOR 180 OHM"
R                   1  120   ""            "220R"            K0805                "RESISTOR 220 OHM"
R                   1  120   ""            "270R"            K0805                "RESISTOR 270 OHM"
R                   1  120   ""            "330R"            K0805                "RESISTOR 330 OHM"
R                   1  120   ""            "390R"            K0805                "RESISTOR 390 OHM"
R                   1  120   ""            "470R"            K0805                "RESISTOR 470 OHM"
R                   1  120   ""            "560R"            K0805                "RESISTOR 560 OHM"
R                   1  120   ""            "680R"            K0805                "RESISTOR 680 OHM"
R                   1  120   ""            "820R"            K0805                "RESISTOR 820 OHM"
R                   1  120   ""            "1K0"             K0805                "RESISTOR 1.0K OHM"
R                   1  120   ""            "1K2"             K0805                "RESISTOR 1.2K OHM"
R                   1  120   ""            "1K5"             K0805                "RESISTOR 1.5K OHM"
R                   1  120   ""            "1K8"             K0805                "RESISTOR 1.8K OHM"
R                   1  120   ""            "2K2"             K0805                "RESISTOR 2.2K OHM"
R                   1  120   ""            "2K7"             K0805                "RESISTOR 2.7K OHM"
R                   1  120   ""            "3K3"             K0805                "RESISTOR 3.3K OHM"
R                   1  120   ""            "3K9"             K0805                "RESISTOR 3.9K OHM"
R                   1  120   ""            "4K7"             K0805                "RESISTOR 4.7K OHM"
R                   1  120   ""            "5K6"             K0805                "RESISTOR 5.6K OHM"
R                   1  120   ""            "6K8"             K0805                "RESISTOR 6.8K OHM"
R                   1  120   ""            "8K2"             K0805                "RESISTOR 8.2K OHM"
R                   1  120   ""            "10K"             K0805                "RESISTOR 10K OHM"
R                   1  120   ""            "12K"             K0805                "RESISTOR 12K OHM"
R                   1  120   ""            "15K"             K0805                "RESISTOR 15K OHM"
R                   1  120   ""            "18K"             K0805                "RESISTOR 18K OHM"
R                   1  120   ""            "22K"             K0805                "RESISTOR 22K OHM"
R                   1  120   ""            "27K"             K0805                "RESISTOR 27K OHM"
R                   1  120   ""            "33K"             K0805                "RESISTOR 33K OHM"
R                   1  120   ""            "39K"             K0805                "RESISTOR 39K OHM"
R                   1  120   ""            "47K"             K0805                "RESISTOR 47K OHM"
R                   1  120   ""            "56K"             K0805                "RESISTOR 56K OHM"
R                   1  120   ""            "68K"             K0805                "RESISTOR 68K OHM"
R                   1  120   ""            "82K"             K0805                "RESISTOR 82K OHM"
R                   1  120   ""            "100K"            K0805                "RESISTOR 100K OHM"
R                   1  120   ""            "120K"            K0805                "RESISTOR 120K OHM"
